nodenumber     x-coordinate     y-coordinate     z-coordinate
        91   -3.7668159197E-02   -1.9218071486E-02    1.2251820260E-01
        92   -3.7484049881E-02   -2.2124513186E-02    1.2729697231E-01
        93   -3.7454602301E-02   -2.1411476526E-02    1.2385130160E-01
        94   -3.7379036354E-02   -1.5521576310E-02    1.2499655252E-01
        95   -3.7309500521E-02   -1.1276432602E-02    1.2989037463E-01
        96   -3.7264490619E-02   -2.2206343045E-02    1.2733638219E-01
        97   -3.7189434546E-02   -2.0291035134E-02    1.2174352409E-01
        98   -3.7159851779E-02   -1.6168139850E-02    1.2401116120E-01
        99   -3.7140191806E-02   -2.2291421785E-02    1.2784518624E-01
       100   -3.7064690245E-02   -1.6594015533E-02    1.2343813451E-01
       101   -3.7052731789E-02   -1.2127166871E-02    1.2822335100E-01
       102   -3.7029165647E-02   -1.7818279937E-02    1.2228477717E-01
       103   -3.7020745292E-02   -1.8594320433E-02    1.2175584340E-01
       104   -3.6969461456E-02   -1.6863949030E-02    1.3288611863E-01
       105   -3.6909769903E-02   -1.6910218945E-02    1.2288248457E-01
       106   -3.6637637058E-02   -2.9730526289E-02    3.8619333956E-02
       107   -3.6633974595E-02   -2.9404008267E-02    3.7846350450E-02
       108   -3.6607577592E-02   -3.0524076683E-02    3.8852001269E-02
       109   -3.6604553651E-02   -3.0738526685E-02    3.8519438693E-02
       110   -3.6597447899E-02   -1.9485312887E-02    1.3339299509E-01
       111   -3.6571088155E-02   -2.1026446670E-02    1.2117430641E-01
       112   -3.6559140596E-02   -2.9483841430E-02    4.0111596427E-02
       113   -3.6552114374E-02   -3.1118526643E-02    3.9145881581E-02
       114   -3.6523830553E-02   -2.8521825379E-02    4.0230441980E-02
       115   -3.6522779286E-02   -3.0623921933E-02    3.5946430305E-02
       116   -3.6519626802E-02   -3.0733955060E-02    3.5952397669E-02
       117   -3.6513204869E-02   -2.8444225488E-02    4.0296932516E-02
       118   -3.6498607644E-02   -1.1721902011E-02    1.2803334131E-01
       119   -3.6496276684E-02   -3.1828074032E-02    3.8688293071E-02
       120   -3.6484092442E-02   -2.8150278724E-02    3.6457754187E-02
       121   -3.6479741798E-02   -3.2014160432E-02    3.8413305266E-02
       122   -3.6476662566E-02   -2.7373546020E-02    3.9281241148E-02
       123   -3.6476226101E-02   -3.1893184440E-02    3.8971359968E-02
       124   -3.6465680889E-02   -2.8903207374E-02    4.0971114334E-02
       125   -3.6464826315E-02   -2.9961588450E-02    3.5246409443E-02
       126   -3.6462189067E-02   -3.1870680245E-02    3.9267982558E-02
       127   -3.6455542438E-02   -2.7980821751E-02    3.6334467292E-02
       128   -3.6447243011E-02   -3.2299935729E-02    3.7600518374E-02
       129   -3.6445957119E-02   -3.1914501975E-02    3.9435018993E-02
       130   -3.6444393285E-02   -3.1377101983E-02    3.5482611731E-02
       131   -3.6443498937E-02   -3.2275465527E-02    3.7107551278E-02
       132   -3.6434023120E-02   -3.1537220040E-02    3.5507786230E-02
       133   -3.6431653493E-02   -2.7134105004E-02    3.7673371519E-02
       134   -3.6428071899E-02   -3.1641749969E-02    3.5534578855E-02
       135   -3.6420490234E-02   -2.8585591163E-02    4.1249426935E-02
       136   -3.6411831577E-02   -3.2089862452E-02    3.9571225631E-02
       137   -3.6406078854E-02   -2.0585613989E-02    1.3362600284E-01
       138   -3.6404193279E-02   -3.1584620963E-02    4.0396514428E-02
       139   -3.6402555835E-02   -1.4753468418E-02    1.2426892302E-01
       140   -3.6391264837E-02   -3.2643900690E-02    3.7298728622E-02
