nodenumber     x-coordinate     y-coordinate     z-coordinate
         1   -1.9475392314E-02   -2.2196959168E-03    1.1923283765E-01
         2   -1.9351173542E-02   -6.9268271712E-04    1.1944078831E-01
         3   -1.9287980597E-02   -2.6049985680E-03    1.1993411418E-01
         4   -1.9246580904E-02   -4.3135676417E-03    1.2007225769E-01
         5   -1.9157595353E-02   -3.5101299953E-03    1.2023965575E-01
         6   -1.8762343223E-02    3.3464512884E-04    1.1979061829E-01
         7   -1.8716832545E-02   -1.3586942961E-03    1.1818583560E-01
         8   -1.8522926879E-02   -4.1391772153E-03    1.2093857933E-01
         9   -1.8483624050E-02   -4.8935795800E-03    1.1966731081E-01
        10   -1.8431794480E-02   -3.0461579278E-03    1.1790831450E-01
        11   -1.8193091847E-02   -8.9084871792E-04    1.2055553272E-01
        12   -1.8162139173E-02   -4.1676538935E-03    1.1828714388E-01
        13   -1.8095853326E-02    7.5535162989E-04    1.2029888105E-01
        14   -1.8078800075E-02    1.0304235631E-03    1.1980535469E-01
        15   -1.8024651071E-02   -2.8957889716E-03    1.1726279985E-01
        16   -1.7984873661E-02   -4.2704180480E-03    1.1813547553E-01
        17   -1.7983813138E-02   -5.3930309993E-03    1.1986181987E-01
        18   -1.7915487484E-02   -4.8019389294E-03    1.2162018425E-01
        19   -1.7894835771E-02   -2.4949803303E-03    1.2115711382E-01
        20   -1.7889855653E-02   -4.9443290446E-03    1.2167282941E-01
        21   -1.7835671839E-02    4.1058991840E-04    1.1832675701E-01
        22   -1.7771252120E-02   -5.0839433499E-03    1.1893572624E-01
        23   -1.7759788142E-02   -2.4080682376E-03    1.1675104609E-01
        24   -1.7718230637E-02    1.9653144224E-04    1.1787335419E-01
        25   -1.7575065527E-02   -1.7370981928E-04    1.2095857472E-01
        26   -1.7551508810E-02    1.4602782698E-03    1.2063857431E-01
        27   -1.7524996955E-02   -5.1146745554E-03    1.2203469793E-01
        28   -1.7497757025E-02   -5.3431323406E-03    1.2210674628E-01
        29   -1.7469449842E-02   -5.9760759035E-03    1.2084997756E-01
        30   -1.7459006347E-02   -5.0920058452E-03    1.2208898508E-01
        31   -1.7419445766E-02    1.3891863821E-04    1.1738168250E-01
        32   -1.7382470604E-02   -1.6334240054E-03    1.1621169251E-01
        33   -1.7366026021E-02   -1.5980322543E-03    1.2144283607E-01
        34   -1.7321334048E-02   -2.8139243331E-03    1.2173660078E-01
        35   -1.7309038731E-02   -6.1577246702E-03    1.2190207758E-01
        36   -1.7250387712E-02   -6.1775157225E-03    1.2201054979E-01
        37   -1.7246599205E-02   -5.3516892232E-03    1.1867765755E-01
        38   -1.7185776476E-02   -8.2483469424E-04    1.1622759938E-01
        39   -1.7161723424E-02    6.5453029178E-04    1.1774547393E-01
        40   -1.7152852466E-02    1.2964082387E-03    1.2102931842E-01
        41   -1.7075267952E-02   -5.2404885386E-03    1.1820213492E-01
        42   -1.7055602561E-02   -3.5528694974E-03    1.2212850365E-01
        43   -1.6991411616E-02   -5.7420192654E-03    1.1926990039E-01
        44   -1.6965219670E-02   -3.5682369054E-03    1.2221254578E-01
        45   -1.6945475552E-02   -7.0069346189E-06    1.1654541094E-01
        46   -1.6752619768E-02   -5.7853277000E-03    1.1904852969E-01
        47   -1.6747360521E-02   -4.6647930403E-03    1.1681296966E-01
        48   -1.6685405882E-02   -6.1943154960E-03    1.2085476051E-01
        49   -1.6630579658E-02   -2.3630765486E-03    1.1513447405E-01
        50   -1.6589780475E-02   -3.8401567828E-03    1.1573589103E-01
        51   -1.6588124600E-02   -2.5954508337E-03    1.2234674712E-01
        52   -1.6580046787E-02   -2.1100733437E-04    1.2185625978E-01
        53   -1.6534111175E-02    1.7872338112E-03    1.2067406907E-01
        54   -1.6529903739E-02    1.0051406848E-03    1.1753337152E-01
        55   -1.6357856433E-02   -3.7507989190E-03    1.1533209032E-01
        56   -1.6354634059E-02   -1.3272375923E-04    1.2204151819E-01
        57   -1.6284558970E-02   -6.2507433777E-03    1.2230164813E-01
        58   -1.6245645582E-02   -6.2620259085E-03    1.2089006082E-01
        59   -1.6211720140E-02   -5.9703852812E-03    1.1889556708E-01
        60   -1.6185301947E-02   -4.2526489033E-03    1.2305292714E-01
        61   -1.6134607949E-02    3.0628776435E-04    1.1577997169E-01
        62   -1.6109294972E-02   -5.8286008886E-03    1.2344985870E-01
        63   -1.5999125626E-02   -3.9549019792E-03    1.1497731599E-01
        64   -1.5916227312E-02   -2.4988469607E-04    1.1485227621E-01
        65   -1.5913455481E-02   -6.2829177955E-03    1.2072341068E-01
        66   -1.5910039334E-02   -6.2876952482E-03    1.2096674073E-01
        67   -1.5898410123E-02   -2.9792611726E-03    1.1424764802E-01
        68   -1.5869685740E-02   -3.5938204174E-03    1.1452366806E-01
        69   -1.5824458743E-02   -5.4865813299E-03    1.2363321135E-01
        70   -1.5807669259E-02   -5.3381000629E-03    1.2361723363E-01
        71   -1.5745412814E-02   -5.9778942243E-03    1.1822679530E-01
        72   -1.5649317587E-02   -3.8973106704E-03    1.1442843593E-01
        73   -1.5603951427E-02   -6.2443163337E-03    1.2175434268E-01
        74   -1.5602861944E-02   -2.8079248882E-03    1.1376139459E-01
        75   -1.5589363607E-02    1.5771306207E-03    1.2236903781E-01
        76   -1.5549698565E-02   -3.6379281776E-03    1.1409247903E-01
        77   -1.5544864038E-02   -3.4285509258E-03    1.1395051824E-01
        78   -1.5496837509E-02   -2.9275732897E-03    1.1365202126E-01
        79   -1.5471911127E-02    3.7754612268E-04    1.1493730522E-01
        80   -1.5459977979E-02   -6.2982801356E-03    1.2037627159E-01
        81   -1.5458782251E-02   -4.1783314336E-03    1.2368718040E-01
        82   -1.5352886274E-02    5.5015577645E-04    1.1502983448E-01
        83   -1.5314245731E-02   -3.0824241599E-03    1.1344956501E-01
        84   -1.5313635075E-02    1.7741881339E-03    1.1884960413E-01
        85   -1.5294345839E-02   -5.6876350260E-03    1.1662002180E-01
        86   -1.5264235153E-02   -6.0398655566E-03    1.1776695620E-01
        87   -1.5248158717E-02    1.8214611769E-03    1.1944494229E-01
        88   -1.5203831105E-02   -5.3282767936E-04    1.1360680777E-01
        89   -1.5181479833E-02   -7.5207116087E-04    1.1342752717E-01
        90   -1.5153718853E-02   -5.4494521803E-03    1.1583819325E-01
        91   -1.5120886187E-02    1.5058487529E-03    1.1703801108E-01
        92   -1.5119123973E-02   -1.1258317598E-05    1.1395883187E-01
        93   -1.5063381186E-02   -4.4183996309E-03    1.1408400081E-01
        94   -1.5042708293E-02    9.0348687612E-04    1.1523193927E-01
        95   -1.4929806049E-02   -1.9201370482E-03    1.1268337243E-01
        96   -1.4845526380E-02   -2.2027758140E-04    1.1336109389E-01
        97   -1.4781513073E-02   -3.6952861961E-03    1.2419207229E-01
        98   -1.4779587297E-02   -3.2622009895E-04    1.1316693201E-01
        99   -1.4759046934E-02   -5.1691579544E-03    1.1471168518E-01
       100   -1.4737246675E-02    1.0386552860E-03    1.1509616012E-01
       101   -1.4680462410E-02   -6.0600948348E-03    1.1699311675E-01
       102   -1.4659153236E-02    1.7084177762E-03    1.1744658206E-01
       103   -1.4657683975E-02   -7.4643717600E-04    1.1268531441E-01
       104   -1.4635900624E-02   -6.0931891701E-03    1.2158291636E-01
       105   -1.4594983107E-02   -4.5556292526E-03    1.1356652886E-01
       106   -1.4573811171E-02    1.6094280414E-03    1.1675436046E-01
       107   -1.4540119149E-02   -6.2587481587E-03    1.2036423755E-01
       108   -1.4538287746E-02   -2.2570908095E-03    1.1212508688E-01
       109   -1.4535889011E-02   -3.0954288622E-03    1.1233740590E-01
       110   -1.4529365450E-02   -5.1215152929E-03    1.2390613784E-01
       111   -1.4520769277E-02   -1.3321908008E-04    1.1298162082E-01
       112   -1.4368526233E-02    9.8308313406E-05    1.1301608041E-01
       113   -1.4338303146E-02   -6.3082926004E-03    1.1836317674E-01
       114   -1.4335939111E-02   -5.3145794965E-03    1.1437103646E-01
       115   -1.4310884732E-02   -6.2832221203E-03    1.1982949518E-01
       116   -1.4307469009E-02   -3.4961911682E-03    1.1221351340E-01
       117   -1.4277181581E-02   -3.7684602084E-03    1.2465839726E-01
       118   -1.4247633607E-02   -5.6667571932E-03    1.1504393032E-01
       119   -1.4195728709E-02   -5.6767387898E-04    1.2406313518E-01
       120   -1.4195282330E-02   -1.5557582395E-03    1.1168559341E-01
       121   -1.4189285136E-02    1.4419625867E-03    1.1549524228E-01
       122   -1.4153874799E-02    7.8158582496E-04    1.2318527876E-01
       123   -1.4088957619E-02   -1.5698164595E-03    1.2436780381E-01
       124   -1.4074566502E-02   -2.9378539670E-03    1.2466623298E-01
       125   -1.4052160163E-02   -6.2058964745E-03    1.2017813007E-01
       126   -1.4038610774E-02   -5.1534626875E-03    1.1363899296E-01
       127   -1.3998180673E-02   -1.0061841056E-04    1.2414231995E-01
       128   -1.3978896894E-02    1.3355050360E-04    1.1250152632E-01
       129   -1.3964350117E-02   -2.2474259294E-04    1.1210291673E-01
       130   -1.3926743154E-02   -5.5971894646E-03    1.2224294101E-01
       131   -1.3921625154E-02    1.5786767991E-04    1.2382371425E-01
       132   -1.3909736023E-02    5.2763039156E-04    1.1295091577E-01
       133   -1.3878805483E-02   -2.4326187536E-03    1.1120360945E-01
       134   -1.3862385611E-02   -5.1572173441E-03    1.2300890782E-01
       135   -1.3817713253E-02   -1.5190971155E-03    1.2459980535E-01
       136   -1.3808430552E-02   -1.4683979995E-03    1.1115146619E-01
       137   -1.3787105148E-02   -5.0865767774E-03    1.2302464250E-01
       138   -1.3750636684E-02   -2.4386800065E-03    1.1102046755E-01
       139   -1.3743876795E-02    3.1226897177E-04    1.1239929141E-01
       140   -1.3705721095E-02   -6.1280522547E-03    1.2018600581E-01
       141   -1.3691761018E-02   -3.0785745047E-03    1.1111718223E-01
       142   -1.3679641267E-02   -6.1583141834E-03    1.1602424100E-01
