nodenumber     x-coordinate     y-coordinate     z-coordinate
        94    1.6970801688E-02   -1.7972455037E-01    1.1248769552E+00
        95    1.6970943230E-02   -1.7813975469E-01    1.1260613856E+00
        96    1.6971334002E-02   -1.7781451861E-01    1.1258575444E+00
        97    1.6972161427E-02   -1.7984354520E-01    1.1244285436E+00
        98    1.6974978146E-02   -1.7966997352E-01    1.1239634896E+00
        99    1.6975751326E-02   -1.7965721579E-01    1.1239258991E+00
       100    1.6979331373E-02   -1.7789046987E-01    1.1229432209E+00
       101    1.6979361985E-02   -1.7981972615E-01    1.1242065261E+00
       102    1.6980311200E-02   -1.7883823808E-01    1.1230829250E+00
       103    1.6983016425E-02   -1.7740080720E-01    1.1253373249E+00
       104    1.6985482991E-02   -1.7959777299E-01    1.1237787486E+00
       105    1.6988170251E-02   -1.7858811736E-01    1.1261841036E+00
       106    1.6989792103E-02   -1.7722859853E-01    1.1236695992E+00
       107    1.6990063333E-02   -1.7928981743E-01    1.1233887443E+00
       108    1.6991676586E-02   -1.7930453371E-01    1.1255450646E+00
       109    1.6991982269E-02   -1.7991220487E-01    1.1247234967E+00
       110    1.6992181858E-02   -1.7990997404E-01    1.1247328638E+00
       111    1.6992289430E-02   -1.7852723745E-01    1.1262285712E+00
       112    1.6993157319E-02   -1.7899591451E-01    1.1259042801E+00
       113    1.6993954552E-02   -1.7902527221E-01    1.1258788266E+00
       114    1.6996995436E-02   -1.7718675064E-01    1.1247385972E+00
       115    1.6998080050E-02   -1.7994886599E-01    1.1243010623E+00
       116    1.7000629204E-02   -1.7991628354E-01    1.1248357918E+00
       117    1.7005684980E-02   -1.7993458408E-01    1.1248502650E+00
       118    1.7006573703E-02   -1.7996162469E-01    1.1242490047E+00
       119    1.7014130807E-02   -1.7963416549E-01    1.1236910594E+00
       120    1.7016409290E-02   -1.7923952756E-01    1.1232671229E+00
       121    1.7016687316E-02   -1.7712895833E-01    1.1238082501E+00
       122    1.7018870083E-02   -1.7743903214E-01    1.1231180836E+00
       123    1.7020094686E-02   -1.8005168322E-01    1.1246824389E+00
       124    1.7020157892E-02   -1.7952948439E-01    1.1254481603E+00
       125    1.7022370708E-02   -1.7749490420E-01    1.1230592480E+00
       126    1.7023866622E-02   -1.7718401143E-01    1.1251084866E+00
       127    1.7024918900E-02   -1.7729624289E-01    1.1232607402E+00
       128    1.7026670587E-02   -1.7802685114E-01    1.1263743895E+00
       129    1.7031041421E-02   -1.7891981228E-01    1.1262127942E+00
       130    1.7031095754E-02   -1.7833344619E-01    1.1264942636E+00
       131    1.7031929521E-02   -1.7833663147E-01    1.1264994920E+00
       132    1.7037990944E-02   -1.7713326864E-01    1.1235402802E+00
       133    1.7039559506E-02   -1.7704459613E-01    1.1241208932E+00
       134    1.7041491880E-02   -1.7722424550E-01    1.1253927370E+00
       135    1.7044269022E-02   -1.7979904562E-01    1.1237914346E+00
       136    1.7045408728E-02   -1.7870317885E-01    1.1228074631E+00
       137    1.7050203683E-02   -1.7913302872E-01    1.1261015697E+00
       138    1.7051784420E-02   -1.7925993861E-01    1.1259581657E+00
       139    1.7052207093E-02   -1.7875620748E-01    1.1228012601E+00
       140    1.7053701847E-02   -1.7805369422E-01    1.1265559606E+00
       141    1.7054983449E-02   -1.7820731792E-01    1.1266287588E+00
       142    1.7055080330E-02   -1.7951381135E-01    1.1256695663E+00
       143    1.7056324677E-02   -1.7735731859E-01    1.1258205145E+00
       144    1.7056524575E-02   -1.7999575766E-01    1.1251300836E+00
       145    1.7057760539E-02   -1.8014771164E-01    1.1248809517E+00
       146    1.7060255278E-02   -1.7706716343E-01    1.1235859157E+00
       147    1.7061063110E-02   -1.7973743054E-01    1.1254506960E+00
       148    1.7065472118E-02   -1.8021731833E-01    1.1246159726E+00
       149    1.7066011385E-02   -1.7961799512E-01    1.1234788868E+00
       150    1.7067166783E-02   -1.7944138539E-01    1.1258284636E+00
       151    1.7067808543E-02   -1.7807554102E-01    1.1227178804E+00
       152    1.7072597878E-02   -1.8023714786E-01    1.1245371115E+00
       153    1.7072860453E-02   -1.7984075371E-01    1.1253986769E+00
       154    1.7073946574E-02   -1.7756965303E-01    1.1262795229E+00
       155    1.7074148087E-02   -1.7892551412E-01    1.1264810567E+00
       156    1.7074766220E-02   -1.7718004694E-01    1.1255395396E+00
       157    1.7075871994E-02   -1.7924020778E-01    1.1261242087E+00
       158    1.7080083378E-02   -1.7695879477E-01    1.1245707494E+00
       159    1.7082080857E-02   -1.7914158962E-01    1.1262917251E+00
       160    1.7084484442E-02   -1.8010069360E-01    1.1251554703E+00
       161    1.7086551662E-02   -1.7967416726E-01    1.1234731977E+00
       162    1.7087949808E-02   -1.7983514253E-01    1.1236495251E+00
       163    1.7088864420E-02   -1.7692548842E-01    1.1242236483E+00
       164    1.7091271615E-02   -1.7753608912E-01    1.1263510424E+00
       165    1.7091784647E-02   -1.7967244652E-01    1.1234537123E+00
       166    1.7092609800E-02   -1.7905689991E-01    1.1228797993E+00
