nodenumber     x-coordinate     y-coordinate     z-coordinate
         1    1.6737515331E-02   -1.7855984959E-01    1.1243325134E+00
         2    1.6741518806E-02   -1.7808309586E-01    1.1240101472E+00
         3    1.6742728624E-02   -1.7820324452E-01    1.1237729012E+00
         4    1.6743235601E-02   -1.7850523781E-01    1.1245035725E+00
         5    1.6753528666E-02   -1.7829574455E-01    1.1246481907E+00
         6    1.6754026433E-02   -1.7846505233E-01    1.1246282329E+00
         7    1.6759029771E-02   -1.7874675313E-01    1.1240254535E+00
         8    1.6761396535E-02   -1.7827504909E-01    1.1247073259E+00
         9    1.6764989073E-02   -1.7847462218E-01    1.1247295851E+00
        10    1.6768711900E-02   -1.7854617678E-01    1.1247160190E+00
        11    1.6768878118E-02   -1.7853094970E-01    1.1236576380E+00
        12    1.6777746917E-02   -1.7810184381E-01    1.1247324801E+00
        13    1.6779437370E-02   -1.7863771317E-01    1.1236728095E+00
        14    1.6780372668E-02   -1.7847539557E-01    1.1248538061E+00
        15    1.6781526232E-02   -1.7787076100E-01    1.1237980285E+00
        16    1.6781642049E-02   -1.7793398717E-01    1.1245529844E+00
        17    1.6782891556E-02   -1.7877010452E-01    1.1237688003E+00
        18    1.6784060362E-02   -1.7784157746E-01    1.1243047674E+00
        19    1.6784147947E-02   -1.7842094762E-01    1.1248928339E+00
        20    1.6784304736E-02   -1.7793358135E-01    1.1245845735E+00
        21    1.6799357528E-02   -1.7805985478E-01    1.1234381967E+00
        22    1.6800926515E-02   -1.7776684598E-01    1.1238305695E+00
        23    1.6801779951E-02   -1.7891487530E-01    1.1238106567E+00
        24    1.6809231564E-02   -1.7825799789E-01    1.1250600440E+00
        25    1.6809570353E-02   -1.7771770634E-01    1.1240022426E+00
        26    1.6811437462E-02   -1.7854924949E-01    1.1250379342E+00
        27    1.6813353971E-02   -1.7903756250E-01    1.1244164992E+00
        28    1.6813872632E-02   -1.7854025601E-01    1.1250577573E+00
        29    1.6815735516E-02   -1.7906268498E-01    1.1240293400E+00
        30    1.6816769894E-02   -1.7891112816E-01    1.1236958628E+00
        31    1.6819012065E-02   -1.7905043069E-01    1.1239264038E+00
        32    1.6828283146E-02   -1.7822641198E-01    1.1251819884E+00
        33    1.6828518001E-02   -1.7766468637E-01    1.1243850228E+00
        34    1.6828879196E-02   -1.7913863142E-01    1.1242201103E+00
