nodenumber     x-coordinate     y-coordinate     z-coordinate
        92   -1.5739189839E-02    1.8076750496E-03    1.2130694106E-01
        93   -1.5562731045E-02    1.1045404165E-03    1.1641318849E-01
        94   -1.5553286504E-02   -3.0741374656E-03    1.1378918271E-01
        95   -1.5501696693E-02   -6.0623239247E-03    1.1820995066E-01
        96   -1.5394189595E-02   -2.2453345262E-03    1.1334979793E-01
        97   -1.5384269839E-02   -2.6584987125E-03    1.1340873446E-01
        98   -1.5383365671E-02   -4.4481466330E-03    1.2381094808E-01
        99   -1.5369557259E-02   -6.1473709640E-03    1.1847162062E-01
       100   -1.5368600852E-02   -6.2987096913E-03    1.2013625267E-01
       101   -1.5287240701E-02   -3.4345852634E-03    1.2368535679E-01
       102   -1.5268446968E-02   -6.0580576035E-03    1.2254652035E-01
       103   -1.5253630659E-02   -3.0023164517E-03    1.2362518639E-01
       104   -1.5248071754E-02   -3.8823761756E-03    1.2381385525E-01
       105   -1.5230029829E-02   -5.1023280587E-03    1.2408463448E-01
       106   -1.5188655804E-02   -2.9535291224E-03    1.2367311333E-01
       107   -1.5162918560E-02    1.4394036557E-03    1.1683959263E-01
       108   -1.5157744118E-02   -6.2531750371E-03    1.2114678416E-01
       109   -1.5128217689E-02    1.7211635314E-03    1.2134457944E-01
       110   -1.5115858542E-02    4.8861839652E-04    1.1459992376E-01
       111   -1.5092299261E-02   -6.6465574666E-04    1.1335676446E-01
       112   -1.5055892400E-02   -3.6187927280E-03    1.1337019866E-01
       113   -1.5031009682E-02    1.3619458889E-03    1.2287294594E-01
       114   -1.4994587193E-02   -5.5752844436E-04    1.2334655512E-01
       115   -1.4981036901E-02    1.5871666122E-03    1.2192601750E-01
       116   -1.4828442896E-02   -5.0373142763E-03    1.1458881494E-01
       117   -1.4801027691E-02    7.6433061184E-04    1.2324374755E-01
       118   -1.4795194945E-02   -1.2436964626E-04    1.1338048107E-01
       119   -1.4781978521E-02   -5.9230976881E-03    1.1659194920E-01
       120   -1.4751749630E-02    1.2884577502E-03    1.1577366430E-01
       121   -1.4691430707E-02   -5.7997767899E-03    1.2273090783E-01
       122   -1.4677350912E-02   -1.3741585323E-03    1.1242007165E-01
       123   -1.4675668265E-02    6.6994464023E-04    1.1427147947E-01
       124   -1.4674366489E-02    1.4226357143E-03    1.2218643604E-01
       125   -1.4665296868E-02    1.2200933167E-03    1.2282877511E-01
       126   -1.4651164575E-02   -3.6096627114E-03    1.2429077770E-01
